CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Ibiza ,Spain,17.75,34.00,16.00,2.00,5.00,6.00,9.00,8.00,2.00,10.00,13.00,13.00,58.00,30.00,34.09,55.00,60.00%,18.00
Austin,USA,17.75,35.00,17.00,2.00,5.00,6.00,10.00,7.00,4.00,8.00,7.00,7.00,53.00,27.00,37.40,64.00,57.00%,21.00
St Barts,Saint Barthélemy,17.88,36.00,29.00,2.00,8.00,3.00,11.00,6.00,7.00,5.00,20.00,20.00,89.00,52.00,32.14,50.00,73.00%,5.00
Petra,Jordan,18.00,37.00,15.00,2.00,7.00,4.00,10.00,7.00,4.00,8.00,3.00,3.00,16.00,9.00,67.22,106.00,73.00%,5.00
Kyoto,Japan,18.00,38.00,8.00,3.00,4.00,7.00,10.00,7.00,2.00,10.00,19.00,19.00,65.00,35.00,34.38,56.00,71.00%,7.00
Hamburg,Germany,18.13,39.00,4.00,7.00,1.00,10.00,8.00,9.00,0.00,12.00,17.00,17.00,68.00,38.00,25.66,36.00,62.00%,16.00
Helsinki,Finland,18.13,40.00,-1.00,12.00,1.00,10.00,6.00,11.00,0.00,12.00,22.00,22.00,58.00,30.00,9.73,2.00,29.00%,46.00
Seoul,South Korea,18.25,41.00,4.00,7.00,5.00,6.00,10.00,7.00,2.00,10.00,7.00,7.00,21.00,11.00,56.78,87.00,67.00%,11.00
Malaga ,Spain,18.25,42.00,15.00,2.00,5.00,6.00,10.00,7.00,2.00,10.00,13.00,13.00,89.00,52.00,25.74,37.00,59.00%,19.00
Zanzibar,Tanzania,18.25,43.00,31.00,2.00,8.00,3.00,12.00,5.00,11.00,1.00,13.00,13.00,184.00,84.00,8.33,1.00,38.00%,37.00
Hong Kong,China,18.38,44.00,20.00,2.00,6.00,5.00,11.00,6.00,7.00,5.00,4.00,4.00,28.00,13.00,66.98,105.00,71.00%,7.00
Phuket,Thailand,18.50,45.00,31.00,2.00,8.00,3.00,12.00,5.00,10.00,2.00,8.00,8.00,66.00,36.00,31.03,48.00,31.00%,44.00
