CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Seville,Spain,24.25,79.00,16.00,16.00,5.00,6.00,10.00,6.00,2.00,9.00,14.00,14.00,78.00,53.00,41.41,67.00,59.00%,23.00
Barcelona,Spain,24.25,80.00,13.00,19.00,5.00,6.00,10.00,6.00,2.00,9.00,13.00,13.00,42.00,24.00,61.15,93.00,58.00%,24.00
Montreal,Canada,24.25,81.00,-6.00,38.00,3.00,8.00,9.00,7.00,1.00,10.00,19.00,19.00,67.00,43.00,21.31,21.00,33.00%,48.00
Cairns,Australia,24.25,82.00,31.00,2.00,7.00,4.00,13.00,3.00,11.00,1.00,13.00,13.00,423.00,94.00,20.27,19.00,20.00%,58.00
Kyoto,Japan,24.50,83.00,6.00,26.00,3.00,8.00,10.00,6.00,3.00,8.00,23.00,22.00,78.00,53.00,34.38,56.00,65.00%,17.00
Athens,Greece,24.50,84.00,12.00,20.00,4.00,7.00,10.00,6.00,2.00,9.00,8.00,8.00,63.00,39.00,54.33,85.00,60.00%,22.00
Lake Como,Italy,24.50,85.00,4.00,28.00,3.00,8.00,9.00,7.00,1.00,10.00,9.00,9.00,51.00,30.00,45.45,71.00,48.00%,33.00
Tallinn,Estonia,24.63,86.00,-3.00,35.00,1.00,10.00,7.00,9.00,0.00,11.00,12.00,12.00,124.00,74.00,24.53,34.00,70.00%,12.00
Boston,USA,24.63,87.00,1.00,31.00,5.00,6.00,9.00,7.00,1.00,10.00,11.00,11.00,93.00,61.00,26.03,39.00,49.00%,32.00
Manila,Philippines,24.75,88.00,30.00,3.00,6.00,5.00,11.00,5.00,10.00,2.00,6.00,6.00,40.00,23.00,82.45,121.00,48.00%,33.00
Porto,Portugal,24.75,89.00,14.00,18.00,4.00,7.00,10.00,6.00,2.00,9.00,17.00,17.00,168.00,82.00,22.31,24.00,46.00%,35.00
Geneva ,Switzerland,25.13,90.00,3.00,29.00,2.00,9.00,9.00,7.00,1.00,10.00,15.00,15.00,78.00,53.00,26.52,41.00,44.00%,37.00
Ljubljana,Slovenia,25.13,91.00,2.00,30.00,2.00,9.00,9.00,7.00,1.00,10.00,12.00,12.00,78.00,53.00,28.50,43.00,44.00%,37.00
Chicago ,USA,25.25,92.00,-1.00,33.00,4.00,7.00,10.00,6.00,1.00,10.00,12.00,12.00,44.00,26.00,44.81,68.00,41.00%,40.00
Tromsø,Norway,25.25,93.00,-2.00,34.00,0.00,11.00,2.00,2.00,0.00,11.00,22.00,21.00,91.00,60.00,14.06,6.00,21.00%,57.00
Dublin,Ireland,25.88,94.00,8.00,24.00,2.00,9.00,8.00,8.00,0.00,11.00,18.00,18.00,62.00,38.00,33.61,53.00,35.00%,46.00
Santorini,Greece,26.13,95.00,14.00,18.00,4.00,7.00,10.00,6.00,2.00,9.00,11.00,11.00,114.00,71.00,44.88,69.00,64.00%,18.00
New Orleans,USA,26.13,96.00,16.00,16.00,5.00,6.00,10.00,6.00,4.00,7.00,10.00,10.00,128.00,77.00,35.33,60.00,55.00%,27.00
Brugge,Belgium,26.25,97.00,6.00,26.00,2.00,9.00,8.00,8.00,1.00,10.00,11.00,11.00,43.00,25.00,66.83,104.00,65.00%,17.00
Amsterdam, Netherlands,26.25,98.00,5.00,27.00,2.00,9.00,8.00,8.00,1.00,10.00,14.00,14.00,76.00,51.00,30.43,46.00,36.00%,45.00
Los Angeles,USA,26.38,99.00,20.00,12.00,7.00,4.00,10.00,6.00,3.00,8.00,5.00,5.00,80.00,55.00,64.35,100.00,61.00%,21.00
Lisbon,Portugal,26.38,100.00,15.00,17.00,5.00,6.00,10.00,6.00,2.00,9.00,14.00,14.00,109.00,69.00,36.00,62.00,53.00%,28.00
Ankara,Turkey,26.50,101.00,3.00,29.00,4.00,7.00,10.00,6.00,2.00,9.00,12.00,12.00,46.00,28.00,59.80,90.00,50.00%,31.00
Malé,Maldives,26.63,102.00,30.00,3.00,9.00,2.00,12.00,4.00,11.00,1.00,5.00,5.00,90.00,59.00,62.93,96.00,38.00%,43.00
Nairobi,Kenya,27.00,103.00,25.00,8.00,9.00,2.00,12.00,4.00,11.00,1.00,9.00,9.00,57.00,34.00,68.99,109.00,32.00%,49.00
Chamonix,France,27.13,104.00,-5.00,37.00,4.00,7.00,9.00,7.00,1.00,10.00,8.00,8.00,107.00,67.00,45.08,70.00,71.00%,11.00
Rome,Italy,27.13,105.00,12.00,20.00,4.00,7.00,10.00,6.00,2.00,9.00,14.00,14.00,83.00,56.00,49.81,77.00,53.00%,28.00
Budapest,Hungary,27.13,106.00,2.00,30.00,2.00,9.00,9.00,7.00,1.00,10.00,12.00,12.00,34.00,17.00,58.00,89.00,38.00%,43.00
Venice,Italy,27.50,107.00,6.00,26.00,3.00,8.00,9.00,7.00,1.00,10.00,10.00,10.00,58.00,35.00,60.19,92.00,49.00%,32.00
