CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Sydney,Australia,19.00,34.00,26.00,9.00,7.00,4.00,13.00,2.00,11.00,1.00,12.00,13.00,142.00,78.00,24.53,34.00,71.00%,11.00
Tallinn,Estonia,19.00,35.00,-3.00,36.00,2.00,9.00,9.00,6.00,1.00,11.00,14.00,15.00,33.00,20.00,14.54,7.00,30.00%,48.00
Helsinki,Finland,19.00,36.00,-3.00,36.00,2.00,9.00,9.00,6.00,0.00,12.00,17.00,18.00,33.00,20.00,9.73,2.00,28.00%,49.00
Crete,Greece,19.13,37.00,14.00,20.00,5.00,6.00,11.00,4.00,4.00,8.00,11.00,12.00,118.00,75.00,15.79,12.00,66.00%,16.00
Havana,Cuba,19.25,38.00,26.00,9.00,7.00,4.00,11.00,4.00,8.00,4.00,7.00,8.00,54.00,40.00,50.00,78.00,77.00%,7.00
Sunshine Coast,Australia,19.25,39.00,28.00,7.00,8.00,3.00,13.00,2.00,11.00,1.00,14.00,15.00,256.00,88.00,22.12,23.00,67.00%,15.00
Bruges,Belgium,19.25,40.00,6.00,28.00,3.00,8.00,10.00,5.00,1.00,11.00,15.00,16.00,45.00,31.00,17.50,14.00,38.00%,41.00
Gothenburg,Sweden,19.50,41.00,1.00,33.00,2.00,9.00,9.00,6.00,1.00,11.00,11.00,12.00,41.00,27.00,16.67,13.00,34.00%,45.00
Montego Bay,Jamaica,19.75,42.00,29.00,6.00,8.00,3.00,12.00,3.00,10.00,2.00,6.00,7.00,69.00,52.00,51.67,81.00,80.00%,4.00
Cairo ,Egypt,20.00,43.00,21.00,13.00,8.00,3.00,11.00,4.00,5.00,7.00,3.00,4.00,3.00,2.00,83.14,122.00,79.00%,5.00
Petra,Jordan,20.00,44.00,15.00,19.00,8.00,3.00,11.00,4.00,5.00,7.00,4.00,5.00,17.00,9.00,67.22,106.00,77.00%,7.00
Mexico City,Mexico,20.00,45.00,24.00,11.00,7.00,4.00,12.00,3.00,11.00,1.00,1.00,2.00,4.00,3.00,81.25,120.00,66.00%,16.00
Brisbane,Australia,20.13,46.00,29.00,6.00,8.00,3.00,13.00,2.00,11.00,1.00,14.00,15.00,176.00,82.00,26.22,40.00,70.00%,12.00
Malaga,Spain,20.13,47.00,16.00,18.00,6.00,5.00,11.00,4.00,4.00,8.00,13.00,14.00,74.00,56.00,25.74,37.00,63.00%,19.00
San Juan,Puerto Rico,20.25,48.00,27.00,8.00,8.00,3.00,12.00,3.00,10.00,2.00,15.00,16.00,82.00,64.00,36.76,63.00,81.00%,3.00
Bangkok,Thailand,20.25,49.00,33.00,2.00,9.00,2.00,12.00,3.00,11.00,1.00,3.00,4.00,21.00,11.00,74.27,114.00,56.00%,25.00
Amsterdam, Netherlands,20.25,50.00,5.00,29.00,3.00,8.00,10.00,5.00,1.00,11.00,13.00,14.00,46.00,32.00,21.31,21.00,37.00%,42.00
Punta Cana,Dominican Republic,20.38,51.00,28.00,7.00,9.00,2.00,12.00,3.00,10.00,2.00,12.00,13.00,55.00,41.00,60.00,91.00,80.00%,4.00
Hvar,Croatia,20.63,52.00,10.00,24.00,5.00,6.00,11.00,4.00,2.00,10.00,12.00,13.00,78.00,60.00,20.37,20.00,53.00%,28.00
Kingston,Jamaica,20.75,53.00,30.00,5.00,7.00,4.00,12.00,3.00,10.00,2.00,6.00,7.00,52.00,38.00,64.77,102.00,79.00%,5.00
Dubrovnik,Croatia,21.13,54.00,9.00,25.00,4.00,7.00,11.00,4.00,2.00,10.00,12.00,13.00,128.00,76.00,11.36,4.00,51.00%,30.00
St Lucia,Saint Lucia,21.25,55.00,28.00,7.00,8.00,3.00,12.00,3.00,11.00,1.00,13.00,14.00,86.00,67.00,32.14,50.00,56.00%,25.00
Bern,Switzerland,21.25,56.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,14.00,15.00,66.00,49.00,19.23,17.00,45.00%,36.00
Munich,Germany,21.50,57.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,15.00,16.00,44.00,30.00,24.38,33.00,41.00%,40.00
Edinburgh,United Kingdom,21.50,58.00,6.00,28.00,2.00,9.00,10.00,5.00,1.00,11.00,15.00,16.00,47.00,33.00,22.56,27.00,36.00%,43.00
Seoul,South Korea,21.63,59.00,3.00,31.00,6.00,5.00,11.00,4.00,3.00,9.00,6.00,7.00,26.00,14.00,56.78,87.00,66.00%,16.00
Buenos Aires,Argentina,21.75,60.00,28.00,7.00,9.00,2.00,13.00,2.00,11.00,1.00,8.00,9.00,102.00,70.00,45.08,70.00,69.00%,13.00
Rotterdam,Netherlands,21.75,61.00,6.00,28.00,3.00,8.00,10.00,5.00,1.00,11.00,12.00,13.00,44.00,30.00,25.76,38.00,38.00%,41.00
Austin,USA,21.88,62.00,17.00,17.00,6.00,5.00,11.00,4.00,6.00,6.00,7.00,8.00,61.00,46.00,37.40,64.00,56.00%,25.00
Manila,Philippines,21.88,63.00,31.00,4.00,7.00,4.00,12.00,3.00,11.00,1.00,3.00,4.00,17.00,9.00,82.45,121.00,52.00%,29.00
Split,Croatia,21.88,64.00,10.00,24.00,5.00,6.00,11.00,4.00,2.00,10.00,13.00,14.00,86.00,67.00,20.37,20.00,51.00%,30.00
Prague,Czech Republic,22.00,65.00,4.00,30.00,3.00,8.00,10.00,5.00,1.00,11.00,12.00,13.00,23.00,12.00,35.00,58.00,42.00%,39.00
Beijing,China,22.25,66.00,4.00,30.00,7.00,4.00,11.00,4.00,3.00,9.00,3.00,4.00,4.00,3.00,73.03,112.00,70.00%,12.00
Zurich,Switzerland,22.38,67.00,4.00,30.00,3.00,8.00,10.00,5.00,2.00,10.00,14.00,15.00,63.00,48.00,22.45,26.00,44.00%,37.00
Biarritz,France,22.38,68.00,13.00,21.00,4.00,7.00,11.00,4.00,2.00,10.00,16.00,17.00,115.00,74.00,15.00,8.00,43.00%,38.00
Busan,South Korea,22.50,69.00,9.00,25.00,6.00,5.00,11.00,4.00,4.00,8.00,7.00,8.00,51.00,37.00,51.14,80.00,69.00%,13.00
Tokyo,Japan,22.50,70.00,10.00,24.00,6.00,5.00,11.00,4.00,3.00,9.00,11.00,12.00,58.00,44.00,38.47,65.00,65.00%,17.00
Hamburg,Germany,22.50,71.00,4.00,30.00,2.00,9.00,10.00,5.00,1.00,11.00,13.00,14.00,43.00,29.00,25.66,36.00,32.00%,46.00
