CITY,COUNTRY,AVERAGE RANK,OVERALL RANK,AVERAGE HIGHEST TEMP,AVERAGE HIGHEST TEMP RANK,AVG. DAILY HOURS OF SUNSHINE,AVG. DAILY HOURS OF SUNSHINE RANK,AVG. DAILY HOURS OF DAYLIGHT,AVG. DAILY HOURS OF DAYLIGHT RANK,AVERAGE UV ACROSS YEAR,AVERAGE UV ACROSS YEAR RANK,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR,AVG. NUMBER OF DAYS PER MONTH WITH SOME RAIN ACROSS YEAR RANK,AVG. MONTHLY RAINFALL ACROSS YEAR,AVG. MONTHLY RAINFALL ACROSS YEAR RANK,AIR POLLUTION SCORE,AIR POLLUTION SCORE RANK,% OF CLEAR SKIES ACROSS THE YEAR,% OF CLEAR SKIES ACROSS THE YEAR RANK
Kingston,Jamaica,17.50,34.00,30.00,6.00,8.00,3.00,12.00,1.00,11.00,1.00,6.00,7.00,39.00,18.00,64.77,102.00,79.00%,2.00
Austin,USA,17.63,35.00,22.00,14.00,7.00,4.00,12.00,1.00,8.00,4.00,7.00,8.00,47.00,25.00,37.40,64.00,59.00%,21.00
San Juan,Puerto Rico,17.88,36.00,28.00,8.00,9.00,2.00,12.00,1.00,11.00,1.00,15.00,16.00,79.00,49.00,36.76,63.00,78.00%,3.00
Queenstown,New Zealand,17.88,37.00,17.00,19.00,5.00,6.00,12.00,1.00,6.00,6.00,11.00,12.00,105.00,64.00,10.00,3.00,48.00%,32.00
Copenhagen,Denmark,17.88,38.00,5.00,31.00,4.00,7.00,12.00,1.00,2.00,10.00,15.00,16.00,41.00,20.00,18.80,16.00,38.00%,42.00
Sunshine Coast,Australia,18.00,39.00,27.00,9.00,8.00,3.00,12.00,1.00,11.00,1.00,14.00,15.00,247.00,86.00,22.12,23.00,75.00%,6.00
Gothenburg,Sweden,18.13,40.00,5.00,31.00,3.00,8.00,12.00,1.00,2.00,10.00,12.00,13.00,48.00,26.00,16.67,13.00,37.00%,43.00
Petra,Jordan,18.25,41.00,19.00,17.00,8.00,3.00,12.00,1.00,7.00,5.00,4.00,5.00,15.00,6.00,67.22,106.00,78.00%,3.00
Cairo ,Egypt,18.38,42.00,24.00,12.00,9.00,2.00,12.00,1.00,7.00,5.00,2.00,3.00,2.00,1.00,83.14,122.00,81.00%,1.00
Brisbane,Australia,18.38,43.00,28.00,8.00,8.00,3.00,12.00,1.00,11.00,1.00,14.00,15.00,143.00,74.00,26.22,40.00,76.00%,5.00
Hvar,Croatia,18.38,44.00,13.00,23.00,6.00,5.00,12.00,1.00,4.00,8.00,12.00,13.00,80.00,50.00,20.37,20.00,53.00%,27.00
Punta Cana,Dominican Republic,18.50,45.00,29.00,7.00,9.00,2.00,12.00,1.00,11.00,1.00,12.00,13.00,53.00,31.00,60.00,91.00,79.00%,2.00
Bruges,Belgium,18.50,46.00,9.00,27.00,4.00,7.00,12.00,1.00,3.00,9.00,17.00,18.00,57.00,33.00,17.50,14.00,41.00%,39.00
Phuket,Thailand,18.50,47.00,33.00,3.00,9.00,2.00,12.00,1.00,11.00,1.00,5.00,6.00,59.00,34.00,31.03,48.00,25.00%,53.00
Bern,Switzerland,18.63,48.00,8.00,28.00,4.00,7.00,12.00,1.00,3.00,9.00,15.00,16.00,61.00,36.00,19.23,17.00,45.00%,35.00
Siem Reap,Cambodia,18.63,49.00,36.00,1.00,8.00,3.00,12.00,1.00,11.00,1.00,4.00,5.00,28.00,10.00,57.50,88.00,40.00%,40.00
Sydney,Australia,18.88,50.00,25.00,11.00,7.00,4.00,12.00,1.00,9.00,3.00,13.00,14.00,153.00,76.00,24.53,34.00,73.00%,8.00
Chiang Mai,Thailand,18.88,51.00,34.00,2.00,9.00,2.00,12.00,1.00,11.00,1.00,2.00,3.00,15.00,6.00,81.25,120.00,65.00%,16.00
Zanzibar,Tanzania,18.88,52.00,32.00,4.00,7.00,4.00,12.00,1.00,11.00,1.00,12.00,13.00,150.00,75.00,8.33,1.00,28.00%,52.00
St Lucia,Saint Lucia,19.13,53.00,29.00,7.00,8.00,3.00,12.00,1.00,11.00,1.00,13.00,14.00,76.00,47.00,32.14,50.00,50.00%,30.00
Dubrovnik,Croatia,19.25,54.00,12.00,24.00,5.00,6.00,12.00,1.00,4.00,8.00,13.00,14.00,116.00,68.00,11.36,4.00,51.00%,29.00
Split,Croatia,19.50,55.00,12.00,24.00,5.00,6.00,12.00,1.00,4.00,8.00,13.00,14.00,89.00,54.00,20.37,20.00,51.00%,29.00
Madrid,Spain,19.88,56.00,15.00,21.00,6.00,5.00,12.00,1.00,5.00,7.00,12.00,13.00,36.00,16.00,46.16,72.00,56.00%,24.00
Mexico City,Mexico,20.13,57.00,26.00,10.00,7.00,4.00,12.00,1.00,11.00,1.00,3.00,4.00,11.00,5.00,81.25,120.00,65.00%,16.00
